FCODE,atoll,islandName,capital,islandNa_1,longitude,latitude,Area_ha,category,Sector,Usage,PrimAgency
LD0802,Gaafu Alifu,Falhumaafushi,N,ފަޅުމާފުށި,"73° 26' 18.389"" E","0° 40' 18.513"" N",7.677609,Tourism Island,Tourism,Resort,MoT
LD0805,Gaafu Alifu,Kodagehuttaa,N,ކޮޑަގެހުއްޓާ,"73° 10' 49.395"" E","0° 50' 34.495"" N",1.624394,Uninhabited Island, , ,Council
LD0806,Gaafu Alifu,Lhossaa,N,ޅޮއްސާ,"73° 12' 6.888"" E","0° 49' 12.160"" N",11.561702,Uninhabited Island, , ,MoFMRA
LD0811,Gaafu Alifu,Dhigurah,N,ދިގުރަށް,"73° 26' 27.767"" E","0° 41' 25.861"" N",24.142466,Tourism Island,Tourism,Resort,MoT
LD0820,Gaafu Alifu,Dhevvaamaagalaa,N,ދެއްވާމާގަލާ,"73° 11' 30.723"" E","0° 34' 16.543"" N",8.905316,Uninhabited Island, ,Varuva,MoFMRA
LD0828,Gaafu Alifu,Hithaadhoo,N,ހިތާދޫ,"73° 14' 33.033"" E","0° 50' 57.545"" N",9.474494,Uninhabited Island, , ,MoECCT
LD1045,Gaafu Alifu,Kendheraa,N,ކެންދެރާ,"73° 17' 6.426"" E","0° 43' 36.994"" N",4.362284,Uninhabited Island, , ,MoFMRA
LD0270,Gaafu Alifu,Hithaadhoogalaa,N,ހިތާދޫގަލާ,"73° 15' 8.214"" E","0° 49' 36.072"" N",0.885797,Institutional Island,National Security, ,MoHA
LD0856,Gaafu Alifu,Kan'duhulhudhoo,N,ކަނޑުހުޅުދޫ,"73° 32' 23.000"" E","0° 21' 4.746"" N",32.324874,Residential Island, , , 
LD0869,Gaafu Alifu,Boadduvaa,N,ބޯއްޑުވާ,"73° 19' 51.238"" E","0° 42' 22.075"" N",0.956967,Uninhabited Island, ,Varuva,MoFMRA
LD0878,Gaafu Alifu,Melaimaa,N,މެލައިމާ,"73° 10' 46.664"" E","0° 51' 27.168"" N",1.221183,Uninhabited Island, , ,MoFMRA
LD0881,Gaafu Alifu,Faruhulhedhoo,N,ފަރުހުޅެދޫ,"73° 14' 40.502"" E","0° 52' 20.716"" N",6.505367,Uninhabited Island, , ,MoFMRA
LD0911,Gaafu Alifu,Maarehaa,N,މާރެހާ,"73° 33' 49.977"" E","0° 27' 41.226"" N",15.600729,Tourism Island,Tourism, ,MoT
LD0926,Gaafu Alifu,Funamauddaa,N,ފުނަމައުއްޑާ,"73° 11' 25.025"" E","0° 32' 1.615"" N",9.668965,Tourism Island,Tourism,Resort,MoT
LD0945,Gaafu Alifu,Baavanadhoo,N,ބާވަނަދޫ,"73° 32' 23.644"" E","0° 31' 16.718"" N",6.4366,Uninhabited Island, ,Varuva,MoFMRA
LD0946,Gaafu Alifu,Munandhuvaa,N,މުނަންދުވާ,"73° 30' 1.964"" E","0° 35' 44.303"" N",6.355107,Uninhabited Island, , ,MoFMRA
LD0989,Gaafu Alifu,Bihurehaa,N,ބިހުރެހާ,"73° 34' 15.473"" E","0° 25' 19.022"" N",47.072093,Uninhabited Island, , ,Council
LD1006,Gaafu Alifu,Faruhulhudhoo,N,ފަރުހުޅުދޫ,"73° 15' 19.346"" E","0° 52' 27.871"" N",3.249829,Uninhabited Island, , ,MoFMRA
LD1017,Gaafu Alifu,Idhimaa,N,އިދިމާ,"73° 34' 11.013"" E","0° 24' 28.839"" N",2.029186,Uninhabited Island, , ,Atoll Council
LD1032,Gaafu Alifu,Hulhimendhoo,N,ހުޅިމެންދޫ,"73° 26' 24.057"" E","0° 42' 12.714"" N",4.89266,Uninhabited Island, ,Varuva,MoFMRA
LD1057,Gaafu Alifu,Maadhigavara,N,މާދިގަވަރަ,"73° 16' 0.258"" E","0° 41' 18.784"" N",2.814654,Uninhabited Island, , ,MoFMRA
LD1085,Gaafu Alifu,Maamendhoo,N,މާމެންދޫ,"73° 26' 20.148"" E","0° 42' 49.768"" N",51.913822,Residential Island, , , 
LD1091,Gaafu Alifu,Nilandhoo,N,ނިލަންދޫ,"73° 26' 46.584"" E","0° 38' 11.021"" N",61.258407,Residential Island, , , 
LD1171,Gaafu Alifu,Kon'deymatheelaabadhoo,N,ކޮނޑޭމަތީލާބަދޫ,"73° 29' 52.836"" E","0° 30' 20.738"" N",7.544139,Tourism Island,Tourism,Resort,MoT
LD1182,Gaafu Alifu,Gemanafushi,N,ގެމަނަފުށި,"73° 34' 5.755"" E","0° 26' 32.801"" N",56.791277,Residential Island, , , 
LD1440,Gaafu Alifu, ,N, ,"73° 18' 48.786"" E","0° 50' 11.760"" N",0.241073,Uninhabited Island, , , 
LD1443,Gaafu Alifu, ,N, ,"73° 17' 51.003"" E","0° 53' 53.127"" N",0.09644,Uninhabited Island, , , 
LD1444,Gaafu Alifu, ,N, ,"73° 17' 29.511"" E","0° 52' 25.885"" N",0.017692,Uninhabited Island, , , 
LD1445,Gaafu Alifu, ,N, ,"73° 25' 22.760"" E","0° 48' 10.479"" N",0.127094,Uninhabited Island, , , 
LD1447,Gaafu Alifu, ,N, ,"73° 28' 45.856"" E","0° 36' 24.863"" N",0.390432,Uninhabited Island, , , 
LD1448,Gaafu Alifu, ,N, ,"73° 28' 48.957"" E","0° 36' 22.186"" N",0.048085,Uninhabited Island, , , 
LD1449,Gaafu Alifu, ,N, ,"73° 25' 6.079"" E","0° 39' 45.905"" N",0.908344,Tourism Island,Tourism, ,MoFMRA
LD1450,Gaafu Alifu, ,N, ,"73° 8' 17.844"" E","0° 38' 6.873"" N",0.051296,Uninhabited Island, , , 
LD1451,Gaafu Alifu, ,N, ,"73° 9' 14.757"" E","0° 38' 32.015"" N",0.15634,Uninhabited Island, , , 
LD1465,Gaafu Alifu, ,N, ,"73° 12' 2.487"" E","0° 50' 54.031"" N",0.113761,Uninhabited Island, , , 
LD0462,Gaafu Alifu,Meradhoo,N,މެރަދޫ,"73° 5' 36.601"" E","0° 35' 12.403"" N",5.770439,Tourism Island,Tourism,Resort,MoT
LD0174,Gaafu Alifu,Dhigudhoo,N,ދިގުދޫ,"73° 32' 3.997"" E","0° 32' 32.857"" N",12.256278,Uninhabited Island, , ,MoFMRA
LD0242,Gaafu Alifu,Mahthurehaa,N,މައްތުރެހާ,"73° 33' 8.848"" E","0° 22' 6.610"" N",11.614295,Uninhabited Island, , , 
LD0247,Gaafu Alifu,Vilin'gili,Y,ވިލިނގިލި,"73° 26' 5.467"" E","0° 45' 22.839"" N",111.188844,Residential Island, , , 
LD0314,Gaafu Alifu,Mahthidhoo,N,މައްތިދޫ,"73° 22' 5.249"" E","0° 40' 9.866"" N",1.519066,Uninhabited Island, ,Varuva,MoFMRA
LD0347,Gaafu Alifu, ,N, ,"73° 26' 26.446"" E","0° 39' 17.173"" N",0.192344,Uninhabited Island, , , 
LD0376,Gaafu Alifu,Medhehuttaa,N,މެދެހުއްޓާ,"73° 33' 42.900"" E","0° 28' 1.188"" N",2.454049,Uninhabited Island, , ,MoFMRA
LD1088,Gaafu Alifu,Fenrehaa,N,ފެންރެހާ,"73° 34' 20.838"" E","0° 24' 55.649"" N",1.90732,Uninhabited Island, , ,Atoll Council
LD0657,Gaafu Alifu, ,N, ,"73° 34' 18.580"" E","0° 24' 52.370"" N",0.268526,Uninhabited Island, , , 
LD1156,Gaafu Alifu,Bodubon'deyyaa,N,ބޮޑުބޮނޑެއްޔާ,"73° 34' 2.617"" E","0° 24' 36.355"" N",6.540944,Uninhabited Island, , , 
LD0884,Gaafu Alifu, ,N, ,"73° 33' 39.556"" E","0° 23' 22.944"" N",0.587402,Uninhabited Island, , , 
LD1675,Gaafu Alifu, ,N, ,"73° 5' 41.954"" E","0° 34' 37.204"" N",0.03848,Uninhabited Island, , , 
LD1676,Gaafu Alifu, ,N, ,"73° 11' 43.877"" E","0° 37' 3.350"" N",0.444153,Uninhabited Island, , , 
LD1677,Gaafu Alifu, ,N, ,"73° 10' 36.100"" E","0° 38' 56.153"" N",0.027232,Uninhabited Island, , , 
LD1678,Gaafu Alifu, ,N, ,"73° 11' 21.582"" E","0° 39' 43.387"" N",0.120336,Uninhabited Island, , , 
LD1679,Gaafu Alifu, ,N, ,"73° 12' 45.143"" E","0° 40' 35.323"" N",0.02313,Uninhabited Island, , , 
LD1680,Gaafu Alifu,Maadhigavara,N,މާދިގަވަރަ,"73° 16' 59.986"" E","0° 40' 18.440"" N",0.173718,Uninhabited Island, , ,MoFMRA
LD1681,Gaafu Alifu, ,N, ,"73° 14' 16.938"" E","0° 47' 47.182"" N",0.620425,Uninhabited Island, , , 
LD1682,Gaafu Alifu, ,N, ,"73° 12' 12.040"" E","0° 48' 52.979"" N",0.23905,Uninhabited Island, , , 
LD1683,Gaafu Alifu, ,N, ,"73° 19' 5.415"" E","0° 53' 43.150"" N",0.189424,Uninhabited Island, , , 
LD1684,Gaafu Alifu, ,N, ,"73° 25' 56.464"" E","0° 45' 49.563"" N",0.240558,Uninhabited Island, , , 
LD0928,Gaafu Dhaalu,Goshi,N,ގޮށި,"73° 8' 52.273"" E","0° 30' 39.047"" N",4.236273,Uninhabited Island, , , 
LD0431,Gaafu Dhaalu,Baulhegalla,N,ބައުޅެގައްލާ,"73° 10' 20.949"" E","0° 29' 41.743"" N",3.788828,Uninhabited Island, , ,MoFMRA
LD0835,Gaafu Dhaalu,Ulegalaa,N,އުލެގަލާ,"73° 22' 12.245"" E","0° 23' 55.013"" N",3.885007,Uninhabited Island, , ,MoFMRA
LD0762,Gaafu Dhaalu,Maagalaa,N,މާގަލާ,"73° 22' 45.840"" E","0° 22' 11.158"" N",2.030327,Uninhabited Island, , ,MoFMRA
LD0728,Gaafu Dhaalu,Kodegalaa,N,ކޮޑެގަލާ,"73° 23' 29.691"" E","0° 22' 4.830"" N",4.007996,Uninhabited Island, , ,MoFMRA
LD0357,Gaafu Dhaalu,Maavaaruloo,N,މާވާރުލޫ,"73° 30' 37.737"" E","0° 20' 9.303"" N",90.943344,Industrial Island,Aviation,Airport,MoTCA
LD1164,Gaafu Dhaalu,Kodaanahuttaa,N,ކޮޑާނަހުއްޓާ,"73° 29' 51.994"" E","0° 19' 57.504"" N",18.450771,Uninhabited Island, , ,MoFMRA
LD0010,Gaafu Dhaalu,Farehulhehdhoo,N,ފަރެހުޅެއްދޫ,"73° 29' 50.148"" E","0° 19' 42.144"" N",14.481167,Uninhabited Island, ,Varuva,MoFMRA
LD0814,Gaafu Dhaalu,Dhoonirehaa,N,ދޫނިރެހާ,"73° 29' 38.995"" E","0° 19' 29.186"" N",3.257954,Tourism Island,Tourism, ,MoFMRA
LD0770,Gaafu Dhaalu,Menthandhuvaa,N,މެންތަންދުވާ,"73° 29' 27.831"" E","0° 19' 29.260"" N",11.382902,Uninhabited Island, , ,MoFMRA
LD1069,Gaafu Dhaalu,Maavehdhoo,N,މާވެއްދޫ,"73° 28' 20.191"" E","0° 18' 32.213"" N",7.754522,Industrial Island, , ,MoTCA
LD0887,Gaafu Dhaalu,Gadhdhoo,N,ގައްދޫ,"73° 27' 28.647"" E","0° 17' 24.639"" N",58.664974,Residential Island, , , 
LD0112,Gaafu Dhaalu,Gan,N,ގަން,"73° 26' 3.378"" E","0° 16' 34.251"" N",245.644808,Uninhabited Island, , ,Council
LD0146,Gaafu Dhaalu,Veraaviligillaa,N,ވެރާވިލިގިއްލާ,"73° 26' 55.718"" E","0° 18' 46.025"" N",1.545516,Uninhabited Island, , ,MoFMRA
LD0607,Gaafu Dhaalu,Kaashidhoo,N,ކާށިދޫ,"73° 26' 11.703"" E","0° 20' 7.053"" N",9.031042,Tourism Island,Tourism,Resort,MoT
LD0751,Gaafu Dhaalu,Lonudhoohuttaa,N,ލޮނުދޫހުއްޓާ,"73° 25' 0.221"" E","0° 18' 6.901"" N",7.701849,Tourism Island,Tourism,Resort,MoT
LD0381,Gaafu Dhaalu,Lonudhoo,N,ލޮނުދޫ,"73° 24' 48.618"" E","0° 18' 31.648"" N",5.969901,Uninhabited Island, , ,MoFMRA
LD1434,Gaafu Dhaalu,Faanehuttaa,N,ފާނެހުއްޓާ,"73° 24' 14.829"" E","0° 17' 59.610"" N",1.076961,Uninhabited Island, ,Varuva,MoFMRA
LD0430,Gaafu Dhaalu,Gazeeraa,N,ގަޒީރާ,"73° 22' 36.578"" E","0° 16' 0.867"" N",5.310266,Tourism Island,Tourism, ,MoT
LD1019,Gaafu Dhaalu,Odagallaa,N,އޮޑަގައްލާ,"73° 22' 49.685"" E","0° 19' 10.185"" N",5.983735,Uninhabited Island, , ,MoFMRA
LD0032,Gaafu Dhaalu,Gahevelegalaa,N,ގަހެވެލެގަލާ,"73° 19' 11.004"" E","0° 21' 27.641"" N",4.053144,Uninhabited Island, ,Varuva,MoFMRA
LD0940,Gaafu Dhaalu,Konottaa,N,ކޮނޮއްޓާ,"73° 9' 17.184"" E","0° 27' 45.967"" N",8.163207,Tourism Island,Tourism,Resort,MoT
LD0425,Gaafu Dhaalu,Havodigalaa,N,ހަވޮޑިގަލާ,"73° 4' 27.793"" E","0° 31' 23.444"" N",7.486751,Uninhabited Island, , ,Atoll Council
LD0717,Gaafu Dhaalu,Thinadhoo,Y,ތިނަދޫ,"72° 59' 54.350"" E","0° 31' 56.767"" N",184.792144,Residential Island, , , 
LD0115,Gaafu Dhaalu,Kafena,N,ކަފެނަ,"72° 59' 35.162"" E","0° 31' 1.709"" N",11.234532,Uninhabited Island, , ,Council
LD1439,Gaafu Dhaalu, ,N, ,"73° 3' 58.102"" E","0° 30' 7.298"" N",0.039352,Uninhabited Island, , , 
LD1437,Gaafu Dhaalu, ,N, ,"73° 5' 52.499"" E","0° 28' 57.036"" N",0.094843,Uninhabited Island, , , 
LD1436,Gaafu Dhaalu, ,N, ,"73° 5' 2.668"" E","0° 26' 53.308"" N",0.046559,Uninhabited Island, , , 
LD0367,Gaafu Dhaalu,Maagoderehaa,N,މާގޮޑެރެހާ,"72° 59' 26.612"" E","0° 30' 22.894"" N",7.274784,Uninhabited Island, , ,MoTCA
LD0788,Gaafu Dhaalu,Kudherataa,N,ކުދެރަޓާ,"72° 59' 23.452"" E","0° 30' 2.159"" N",1.557544,Industrial Island, , ,MoTCA
LD0904,Gaafu Dhaalu,Rahadhuvaa,N,ރަހަދުވާ,"72° 59' 23.993"" E","0° 29' 48.756"" N",6.299647,Industrial Island, , ,MoTCA
LD1124,Gaafu Dhaalu,Kaadehdhoo,N,ކާޑެއްދޫ,"72° 59' 38.294"" E","0° 29' 15.338"" N",182.14734,Industrial Island,Aviation,Airport,MoTCA
LD0578,Gaafu Dhaalu,Maallaarehaa,N,މާއްލާރެހާ,"72° 59' 16.938"" E","0° 29' 34.049"" N",1.272601,Industrial Island, , ,MoTCA
LD0778,Gaafu Dhaalu,Haadhoo,N,ހާދޫ,"72° 59' 53.911"" E","0° 26' 56.372"" N",6.815088,Uninhabited Island, , ,Council
LD0172,Gaafu Dhaalu,Dhinmanaa,N,ދިންމަނާ,"72° 59' 52.377"" E","0° 27' 0.376"" N",0.84208,Uninhabited Island, , ,Council
LD0291,Gaafu Dhaalu,Kudhehulhehdhoo,N,ކުދެހުޅެއްދޫ,"72° 59' 50.460"" E","0° 27' 15.393"" N",1.037651,Uninhabited Island, , , 
LD0851,Gaafu Dhaalu,Hoan'dehdhoo,N,ހޯނޑެއްދޫ,"73° 0' 15.530"" E","0° 26' 40.345"" N",110.8848,Residential Island, , , 
LD0995,Gaafu Dhaalu,Hunigoderehaa,N,ހުނިގޮޑެރެހާ,"73° 0' 8.552"" E","0° 26' 5.621"" N",0.246286,Uninhabited Island, , ,Council
LD0575,Gaafu Dhaalu,Kadevaarehaa,N,ކަޑެވާރެހާ,"73° 0' 13.611"" E","0° 25' 41.668"" N",5.063827,Tourism Island,Tourism, ,MoT
LD0481,Gaafu Dhaalu,Dhigurehaa,N,ދިގުރެހާ,"73° 0' 17.219"" E","0° 25' 17.091"" N",2.804223,Tourism Island,Tourism, ,MoT
LD0942,Gaafu Dhaalu,Uhurehaa,N,އުހުރެހާ,"73° 0' 18.755"" E","0° 25' 6.485"" N",0.357701,Uninhabited Island, , , 
LD0505,Gaafu Dhaalu,Uherehaa,N,އުހެރެހާ,"73° 0' 18.878"" E","0° 24' 47.823"" N",0.923625,Uninhabited Island, , ,MoFMRA
LD0791,Gaafu Dhaalu,Kodedhoo,N,ކޮޑެދޫ,"73° 0' 18.945"" E","0° 24' 44.407"" N",0.266999,Uninhabited Island, , ,MoFMRA
LD1031,Gaafu Dhaalu,Anhenerehaa,N,އަންހެނެރެހާ,"73° 0' 18.190"" E","0° 24' 8.760"" N",1.015288,Uninhabited Island, , ,MoFMRA
LD0342,Gaafu Dhaalu,Faredhoo,N,ފަރެދޫ,"73° 0' 17.648"" E","0° 24' 5.085"" N",1.296294,Uninhabited Island, , ,MoFMRA
LD0731,Gaafu Dhaalu,Hulhehdhoo,N,ހުޅެއްދޫ,"73° 0' 21.315"" E","0° 24' 2.074"" N",5.226718,Uninhabited Island, , ,MoFMRA
LD0486,Gaafu Dhaalu, ,N, ,"73° 0' 20.256"" E","0° 23' 48.127"" N",1.320512,Uninhabited Island, , , 
LD0740,Gaafu Dhaalu,Dhatekarunahuttaa,N,ދަޓެކަރުނަހުއްޓާ,"73° 0' 28.471"" E","0° 23' 47.662"" N",1.370598,Uninhabited Island, ,Varuva,MoFMRA
LD0846,Gaafu Dhaalu,Kautihulhadhoo,N,ކައުޓިހުޅަދޫ,"73° 0' 28.812"" E","0° 23' 43.255"" N",13.708645,Uninhabited Island, , ,MoFMRA
LD0003,Gaafu Dhaalu,Keraminthaa,N,ކެރަމިންތާ,"73° 0' 45.217"" E","0° 23' 27.856"" N",38.924603,Uninhabited Island, , ,MoFMRA
LD0292,Gaafu Dhaalu,Han'dhebalanerehaa,N,ހަނދެބަލަނެރެހާ,"73° 0' 41.950"" E","0° 23' 32.649"" N",0.349681,Uninhabited Island, , , 
LD0754,Gaafu Dhaalu,Lifadhoo,N,ލިފަދޫ,"73° 0' 31.185"" E","0° 23' 35.103"" N",3.710649,Uninhabited Island, , ,MoFMRA
LD0245,Gaafu Dhaalu,Boderehaa,N,ބޮޑެރެހާ,"73° 0' 45.639"" E","0° 23' 11.345"" N",7.279672,Uninhabited Island, , ,MoFMRA
LD0042,Gaafu Dhaalu,Dhekaamba,N,ދެކާންބަ,"73° 0' 55.242"" E","0° 23' 1.555"" N",5.171876,Uninhabited Island, , ,MoT
LD0537,Gaafu Dhaalu,Kodurataa,N,ކޮޑުރަޓާ,"73° 1' 22.106"" E","0° 22' 25.526"" N",1.957715,Tourism Island,Tourism, ,MoT
LD0774,Gaafu Dhaalu,Fereythavilin'gili,N,ފެރޭތަވިލިނގިލި,"73° 1' 26.366"" E","0° 22' 19.190"" N",1.692327,Tourism Island,Tourism, ,MoT
LD0652,Gaafu Dhaalu,Thinehuttaa,N,ތިނެހުއްޓާ,"73° 1' 28.776"" E","0° 22' 12.767"" N",3.358155,Uninhabited Island, , , 
LD0815,Gaafu Dhaalu,Kadhefala,N,ކަދެފަލަ,"73° 1' 31.175"" E","0° 22' 4.610"" N",2.223634,Tourism Island,Tourism, ,MoT
LD0693,Gaafu Dhaalu,Olhimuntaa,N,އޮޅިމުންޓާ,"73° 1' 33.411"" E","0° 21' 35.866"" N",1.948502,Tourism Island,Tourism, ,MoT
LD1027,Gaafu Dhaalu,Rodaadhoo,N,ރޮޑާދޫ,"73° 1' 35.028"" E","0° 20' 34.559"" N",2.225078,Uninhabited Island, , ,MoFMRA
LD0552,Gaafu Dhaalu,Farehalehuttaa,N,ފަރެހަލެހުއްޓާ,"73° 1' 35.052"" E","0° 20' 26.277"" N",1.798292,Uninhabited Island, , ,MoFMRA
LD0761,Gaafu Dhaalu,Kalhehuttaa,N,ކަޅެހުއްޓާ,"73° 1' 32.593"" E","0° 19' 44.641"" N",7.612315,Uninhabited Island, , ,MoFMRA
LD0277,Gaafu Dhaalu,Neimaahutta,N,ނެއިމާހުއްޓަ,"73° 1' 33.161"" E","0° 19' 30.148"" N",3.979416,Uninhabited Island, , ,MoFMRA
LD0195,Gaafu Dhaalu,Vaadhoo,N,ވާދޫ,"73° 16' 25.311"" E","0° 13' 38.372"" N",193.73424,Residential Island, , , 
LD0006,Gaafu Dhaalu,Dhigelaabadhuvaa,N,ދިގެލާބަދުވާ,"73° 9' 31.593"" E","0° 12' 48.471"" N",35.852393, , , ,MoECCT
LD0885,Gaafu Dhaalu,Kudhemathaidhoo,N,ކުދެމަތައިދޫ,"73° 1' 47.808"" E","0° 18' 24.044"" N",2.769733,Uninhabited Island, , ,MoFMRA
LD1012,Gaafu Dhaalu,Mathaidhoo,N,މަތައިދޫ,"73° 1' 36.801"" E","0° 18' 14.210"" N",3.855108,Uninhabited Island, ,Varuva,MoFMRA
LD0941,Gaafu Dhaalu,Fatefandhoo,N,ފަޓެފަންދޫ,"73° 1' 38.590"" E","0° 18' 22.760"" N",9.9925,Uninhabited Island, , ,MoFMRA
LD1029,Gaafu Dhaalu,Keredhirehaa,N,ކެރެދިރެހާ,"73° 1' 32.942"" E","0° 18' 28.626"" N",1.022962,Uninhabited Island, , , 
LD1496,Gaafu Dhaalu,Kaafarataa,N,ކާފަރަޓާ,"73° 1' 31.193"" E","0° 18' 29.562"" N",0.441138,Uninhabited Island, , ,MoFMRA
LD1074,Gaafu Dhaalu,Dhiyanegili,N,ދިޔަނެގިލި,"73° 1' 43.201"" E","0° 18' 6.507"" N",6.354613,Uninhabited Island, , ,MoFMRA
LD1060,Gaafu Dhaalu,Hevaahulhudhoo,N,ހެވާހުޅުދޫ,"73° 1' 50.408"" E","0° 18' 3.812"" N",5.997078,Uninhabited Island, , ,MoFMRA
LD0511,Gaafu Dhaalu,Vaareyadhuvaa,N,ވާރެޔަދުވާ,"73° 20' 14.170"" E","0° 17' 18.866"" N",3.443213,Uninhabited Island, , ,MoFMRA
LD0685,Gaafu Dhaalu,Kalherehaa,N,ކަޅެރެހާ,"73° 19' 49.308"" E","0° 15' 14.796"" N",29.98115,Uninhabited Island, , ,MoFMRA
LD0570,Gaafu Dhaalu,Kalhehamalaa,N,ކަޅެހަމަލާ,"73° 28' 56.155"" E","0° 19' 3.600"" N",1.635659,Uninhabited Island, , ,MoFMRA
LD0038,Gaafu Dhaalu,Bolimathaidhua,N,ބޮލިމަތައިދުއާ,"73° 1' 30.570"" E","0° 18' 36.331"" N",2.834144,Uninhabited Island, , ,MoFMRA
LD0216,Gaafu Dhaalu,Kadelerataa,N,ކަޑެލެރަޓާ,"73° 1' 29.650"" E","0° 18' 48.052"" N",3.10007,Uninhabited Island, ,Varuva,MoFMRA
LD0039,Gaafu Dhaalu,Hakandoo,N,ހަކަންޑޫ,"73° 1' 57.523"" E","0° 17' 58.550"" N",8.059392,Uninhabited Island, , ,Council
LD0635,Gaafu Dhaalu,Maguhdhuvaa,N,މަގުއްދުވާ,"73° 21' 24.251"" E","0° 16' 39.686"" N",15.066187,Tourism Island,Tourism,Resort,MoT
LD0360,Gaafu Dhaalu,Mudhimaahutta,N,މުދިމާހުއްޓާ,"73° 20' 47.747"" E","0° 15' 16.995"" N",18.395474,Uninhabited Island, , ,MoFMRA
LD0302,Gaafu Dhaalu,Bodehuttaa,N,ބޮޑެހުއްޓާ,"73° 20' 39.856"" E","0° 15' 40.137"" N",9.01065,Uninhabited Island, , ,MoFMRA
LD0638,Gaafu Dhaalu,Mathihuttaa,N,މަތިހުއްޓާ,"73° 20' 27.061"" E","0° 15' 20.727"" N",5.664432,Uninhabited Island, , ,MoFMRA
LD0296,Gaafu Dhaalu,Laihaa,N,ލައިހާ,"73° 20' 28.703"" E","0° 15' 5.840"" N",1.683465,Uninhabited Island, , ,MoFMRA
LD1432,Gaafu Dhaalu,Raaverinkolhihuttaa,N,ރާވެރިންކޮޅިހުއްޓާ,"73° 14' 1.891"" E","0° 15' 1.783"" N",0.774422,Uninhabited Island, , , 
LD0615,Gaafu Dhaalu,Maahutigalaa,N,މާހުޓިގަލާ,"73° 11' 30.506"" E","0° 17' 38.798"" N",0.27519,Uninhabited Island, ,Longterm Leased,MoFMRA
LD0692,Gaafu Dhaalu,Kodehutigalaa,N,ކޮޑެހުޓިގަލާ,"73° 12' 3.081"" E","0° 17' 21.764"" N",1.918016,Uninhabited Island, ,Longterm Leased,MoFMRA
LD0198,Gaafu Dhaalu,Kan'dahalagalaa,N,ކަނޑަހަލަގަލާ,"73° 12' 59.650"" E","0° 13' 30.921"" N",6.444506, , , ,MoT
LD0395,Gaafu Dhaalu,Farukolhuhuttaa,N,ފަރުކޮޅުހުއްޓާ,"73° 13' 34.647"" E","0° 11' 44.974"" N",1.390936,Tourism Island,Tourism, ,MoT
LD0450,Gaafu Dhaalu,Isdhuhuttaa,N,އިސްދުހުއްޓާ,"73° 13' 6.960"" E","0° 11' 39.695"" N",0.237663,Uninhabited Island, , ,MoFMRA
LD0439,Gaafu Dhaalu,Faathiyehuttaa,N,ފާތިޔެހުއްޓާ,"73° 12' 50.267"" E","0° 11' 36.528"" N",0.716363,Uninhabited Island, , ,MoFMRA
LD0313,Gaafu Dhaalu,Hoothodeyaa,N,ހޫތޮޑެޔާ,"73° 10' 53.994"" E","0° 12' 9.936"" N",0.963729,Uninhabited Island, , ,MoECCT
LD0839,Gaafu Dhaalu,Kelaihuttaa,N,ކެލައިހުއްޓާ,"73° 10' 46.744"" E","0° 12' 15.035"" N",2.546844,Uninhabited Island, , ,Council
LD0651,Gaafu Dhaalu,Ekelondaa,N,އެކެލޮންޑާ,"73° 10' 31.874"" E","0° 12' 27.811"" N",5.158459,Uninhabited Island, ,Varuva,MoFMRA
LD0382,Gaafu Dhaalu,Uhehootirataa,N,އުހެހޫޓިރަޓާ,"73° 10' 15.741"" E","0° 12' 32.959"" N",5.328448,Uninhabited Island, , ,MoFMRA
LD1770,Gaafu Dhaalu, ,N, ,"73° 11' 50.852"" E","0° 11' 31.768"" N",52.739463,Uninhabited Island, , , 
LD0810,Gaafu Dhaalu,Bodehuttaa,N,ބޮޑެހުއްޓާ,"73° 11' 59.448"" E","0° 11' 42.951"" N",1.007923,Uninhabited Island, , , 
LD0173,Gaafu Dhaalu,Kalhehigillaa,N,ކަޅެހިގިއްލާ,"73° 2' 2.777"" E","0° 17' 48.671"" N",20.492234,Uninhabited Island, , ,Council
LD0286,Gaafu Dhaalu,Haveyyerataa,N,ހަވެއްޔެރަޓާ,"73° 2' 11.121"" E","0° 17' 52.489"" N",1.349868,Uninhabited Island, , ,Council
LD0181,Gaafu Dhaalu,Nadellaa,N,ނަޑެއްލާ,"73° 2' 26.868"" E","0° 17' 36.760"" N",45.587479,Residential Island, , , 
LD0919,Gaafu Dhaalu,Maarehaa,N,މާރެހާ,"73° 2' 46.040"" E","0° 17' 26.341"" N",1.852086,Uninhabited Island, , ,Council
LD0519,Gaafu Dhaalu,Kureikeymaahuttaa,N,ކުރެއިކޭމާހުއްޓާ,"73° 3' 1.048"" E","0° 17' 21.409"" N",5.398028,Uninhabited Island, , ,Council
LD0883,Gaafu Dhaalu,Thelehuttaa,N,ތެލެހުއްޓާ,"73° 3' 9.149"" E","0° 17' 16.808"" N",2.320004,Uninhabited Island, , ,MoFMRA
LD0936,Gaafu Dhaalu,Ehivakaa,N,އެހިވަކާ,"73° 3' 16.239"" E","0° 17' 12.641"" N",7.190685,Uninhabited Island, , ,MoFMRA
LD0470,Gaafu Dhaalu,Fiyoaree,N,ފިޔޯރީ,"73° 8' 11.609"" E","0° 13' 17.018"" N",80.7816,Residential Island, , , 
LD0290,Gaafu Dhaalu,Kaalhehuttaa,N,ކާޅެހުއްޓާ,"73° 7' 52.215"" E","0° 13' 37.634"" N",12.264912,Uninhabited Island, , ,Council
